,_id,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked,your_name
20,6161b3e6f7207f813e54c780,4Is1b37KJY9XVCgzp81FBW,0.725,0.94,5,-2.32,0,0.0435,0.115,0.00431,0.0864,0.905,127.051,208475,4,1,honeyd3wy
21,6161c792f4a68f52a28e00a8,0m1f9KaRUnRBYSEkAH7pdj,0.482,0.656,0,-4.554,0,0.0399,0.499,0.000124,0.338,0.312,138.099,186067,4,1,honeyd3wy
22,6161c792f4a68f52a28e00a5,3BPoSr2pO34Aan6alFfVto,0.785,0.744,3,-4.249,0,0.0369,0.0149,0.00666,0.0661,0.833,126.018,208863,4,1,honeyd3wy
23,6161b3e6f7207f813e54c79d,52lsilmqW7xWeJXARzwz3z,0.72,0.573,9,-7.247,0,0.0405,0.0119,2.29e-05,0.0889,0.283,151.989,199143,4,1,honeyd3wy
24,6161b3e6f7207f813e54c78d,5BXr7hYZQOeRttkeWYTq5S,0.764,0.802,0,-4.217,1,0.0351,0.102,0.0,0.189,0.323,132.02,194080,4,1,honeyd3wy
25,6161c792f4a68f52a28e0079,4Is1b37KJY9XVCgzp81FBW,0.725,0.94,5,-2.32,0,0.0435,0.115,0.00431,0.0864,0.905,127.051,208475,4,1,honeyd3wy
26,6161c792f4a68f52a28e0096,52lsilmqW7xWeJXARzwz3z,0.72,0.573,9,-7.247,0,0.0405,0.0119,2.29e-05,0.0889,0.283,151.989,199143,4,1,honeyd3wy
27,6161b3e6f7207f813e54c794,4HxVweMysEnuYxy3gkFtKk,0.696,0.881,1,-2.082,1,0.104,0.0235,0.0,0.277,0.947,142.019,197789,4,1,honeyd3wy
28,6161b3e6f7207f813e54c79b,3QG2RzpI7DLcwFB8OCG9tA,0.565,0.945,8,-0.329,1,0.064,0.0967,0.0,0.177,0.841,164.08,186896,4,1,honeyd3wy
29,6161b980425e092516eb7069,7DhvNzyMM8jJWcfykG3psB,0.403,0.711,8,-4.189,1,0.0569,0.137,0.0,0.109,0.801,203.803,170560,4,0,honeyd3wy
30,6161b3e6f7207f813e54c7ab,3UKKwGrpWWamc0XNSKXjmz,0.783,0.872,11,-2.416,1,0.174,0.0546,0.0391,0.029,0.708,124.993,213560,4,1,honeyd3wy
31,6161b980425e092516eb7053,1cS5zPEqTHf6bpgTKF0iN2,0.56,0.359,4,-10.14,1,0.0311,0.814,0.000205,0.106,0.327,87.605,206240,3,0,honeyd3wy
32,6161b980425e092516eb704d,6uTb5oNK9RkTjxmh73W7MG,0.595,0.389,2,-9.245,1,0.0349,0.418,1.39e-06,0.116,0.4,166.052,227427,4,0,honeyd3wy
33,6161c792f4a68f52a28e009e,4vLqN0bIxIQjlet2mIMBnx,0.835,0.934,1,-1.258,1,0.0431,0.125,0.000501,0.222,0.811,124.98,233280,4,1,honeyd3wy
34,6161c792f4a68f52a28e0084,1JD37Pmj6xJj8dlWHgLG9C,0.668,0.815,11,-2.883,0,0.216,0.281,0.0,0.247,0.885,143.764,203000,4,1,honeyd3wy
35,6161b980425e092516eb702d,3GJ4hzg4lrGwU51Y3VARbF,0.616,0.438,1,-5.968,1,0.0298,0.356,0.0,0.24,0.386,135.929,213387,4,0,honeyd3wy
36,6161c792f4a68f52a28e009a,5UwxdcV6s0iE9v5f99tDMg,0.717,0.91,4,-1.077,0,0.0344,0.399,0.000448,0.129,0.437,132.013,207824,4,1,honeyd3wy
37,6161b980425e092516eb704b,65MoUkyeEYI4bEUSoaR1Yf,0.519,0.739,6,-3.584,1,0.0403,0.381,0.0,0.189,0.324,88.904,200981,4,0,honeyd3wy
38,6161b980425e092516eb7056,5N1OpDajUX3bIMiDEVEK0U,0.385,0.446,11,-7.806,1,0.0298,0.247,0.0,0.189,0.401,179.94,191187,3,0,honeyd3wy
39,6161b980425e092516eb7054,027269uzraETHuoG6aMs6a,0.494,0.771,1,-4.309,1,0.0626,0.0649,0.0,0.11,0.371,136.053,228440,4,0,honeyd3wy
40,6161c792f4a68f52a28e007d,3CYH422oy1cZNoo0GTG1TK,0.664,0.666,8,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987,210560,4,1,honeyd3wy
41,6161b980425e092516eb7030,7vF3xkCMvZjAe2nTWY0uQZ,0.581,0.441,1,-6.829,1,0.0268,0.77,2.75e-05,0.111,0.337,82.125,238400,4,0,honeyd3wy
42,6161b3e6f7207f813e54c7a0,5mpWGq83n0sIgGRopGk5QZ,0.821,0.602,5,-2.916,0,0.0907,0.286,0.0,0.0862,0.776,179.932,192808,4,1,honeyd3wy
43,6161c792f4a68f52a28e008d,4HxVweMysEnuYxy3gkFtKk,0.696,0.881,1,-2.082,1,0.104,0.0235,0.0,0.277,0.947,142.019,197789,4,1,honeyd3wy
44,6161b980425e092516eb7041,132gv2iIWfIInnqHNucPIW,0.489,0.641,2,-6.943,1,0.0284,0.0297,2.1e-05,0.113,0.523,93.665,223400,4,0,honeyd3wy
45,6161b980425e092516eb703a,5G6Nf4Ytk3dzxnhfP2AhKR,0.58,0.36,6,-7.93,1,0.0303,0.841,6.15e-06,0.129,0.302,99.194,210113,4,0,honeyd3wy
46,6161b3e6f7207f813e54c79e,32ou07yoda0mO4lw9pPpzC,0.584,0.813,8,-4.809,1,0.171,0.288,3.68e-06,0.345,0.881,164.79,212109,4,1,honeyd3wy
47,6161b980425e092516eb704c,4q6L3Ca4YuLHWg8YZqfMvE,0.506,0.627,6,-7.851,1,0.0273,0.423,7.4e-05,0.0755,0.296,141.89,231266,4,0,honeyd3wy
48,6161c792f4a68f52a28e0098,3CVeGXpoPKJQ9JuhPp3mpL,0.613,0.912,8,-2.464,1,0.0366,0.152,0.0,0.111,0.734,112.005,209105,4,1,honeyd3wy
49,6161b3e6f7207f813e54c78a,6Q5e2XpyGzMLgA3ul491pu,0.742,0.835,0,-2.89,1,0.113,0.11,0.0,0.351,0.747,112.974,220653,4,1,honeyd3wy
50,6161b3e6f7207f813e54c784,3CYH422oy1cZNoo0GTG1TK,0.664,0.666,8,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987,210560,4,1,honeyd3wy
51,6161b980425e092516eb7024,6IBcOGPsniK3Pso1wHIhew,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4,0,honeyd3wy
